symbol,name,sector,industry
A,"Agilent Technologies, Inc.",Health Care,Life Sciences Tools & Services
AAL,American Airlines Group Inc.,Industrials,Passenger Airlines
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals
ABNB,"Airbnb, Inc.",Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
ABT,Abbott Laboratories,Health Care,Health Care Equipment
ACGL,Arch Capital Group Ltd.,Financials,Reinsurance
ACN,Accenture plc,Information Technology,IT Consulting & Other Services
ADBE,Adobe Inc.,Information Technology,Application Software
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors
ADM,Archer-Daniels-Midland Company,Consumer Staples,Agricultural Products & Services
ADP,"Automatic Data Processing, Inc.",Industrials,Human Resource & Employment Services
ADSK,"Autodesk, Inc.",Information Technology,Application Software
AEE,Ameren Corporation,Utilities,Multi-Utilities
AEP,"American Electric Power Company, Inc.",Utilities,Electric Utilities
AES,The AES Corporation,Utilities,Independent Power Producers & Energy Traders
AFL,Aflac Incorporated,Financials,Life & Health Insurance
AIG,"American International Group, Inc.",Financials,Multi-line Insurance
AIZ,"Assurant, Inc.",Financials,Multi-line Insurance
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers
AKAM,"Akamai Technologies, Inc.",Information Technology,Internet Services & Infrastructure
ALB,Albemarle Corporation,Materials,Specialty Chemicals
ALGN,"Align Technology, Inc.",Health Care,Health Care Supplies
ALK,"Alaska Air Group, Inc.",Industrials,Passenger Airlines
ALL,The Allstate Corporation,Financials,Property & Casualty Insurance
ALLE,Allegion plc,Industrials,Building Products
AMAT,"Applied Materials, Inc.",Information Technology,Semiconductor Materials & Equipment
AMCR,Amcor plc,Materials,Paper & Plastic Packaging Products & Materials
AMD,"Advanced Micro Devices, Inc.",Information Technology,Semiconductors
AME,"AMETEK, Inc.",Industrials,Electrical Components & Equipment
AMGN,Amgen Inc.,Health Care,Biotechnology
AMH,American Homes 4 Rent,Real Estate,Single-Family Residential REITs
AMP,"Ameriprise Financial, Inc.",Financials,Asset Management & Custody Banks
AMT,American Tower Corporation,Real Estate,Telecom Tower REITs
AMZN,"Amazon.com, Inc.",Consumer Discretionary,Broadline Retail
ANET,"Arista Networks, Inc.",Information Technology,Communications Equipment
ANSS,"ANSYS, Inc.",Information Technology,Application Software
AON,Aon plc,Financials,Insurance Brokers
AOS,A. O. Smith Corporation,Industrials,Building Products
APA,APA Corporation,Energy,Oil & Gas Exploration & Production
APD,"Air Products and Chemicals, Inc.",Materials,Industrial Gases
APH,Amphenol Corporation,Information Technology,Electronic Components
APO,"Apollo Global Management, Inc.",Financials,Asset Management & Custody Banks
APTV,Aptiv PLC,Consumer Discretionary,Automotive Parts & Equipment
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,Office REITs
ATO,Atmos Energy Corporation,Utilities,Gas Utilities
AVB,"AvalonBay Communities, Inc.",Real Estate,Multi-Family Residential REITs
AVGO,Broadcom Inc.,Information Technology,Semiconductors
AVY,Avery Dennison Corporation,Materials,Paper & Plastic Packaging Products & Materials
AWK,"American Water Works Company, Inc.",Utilities,Water Utilities
AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense
AXP,American Express Company,Financials,Consumer Finance
AZO,"AutoZone, Inc.",Consumer Discretionary,Automotive Retail
BA,The Boeing Company,Industrials,Aerospace & Defense
BAC,Bank of America Corporation,Financials,Diversified Banks
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers"
BAX,Baxter International Inc.,Health Care,Health Care Equipment
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Specialty Retail
BBY,"Best Buy Co., Inc.",Consumer Discretionary,Computer & Electronics Retail
BDX,"Becton, Dickinson and Company",Health Care,Health Care Equipment
BEN,"Franklin Resources, Inc.",Financials,Asset Management & Custody Banks
BF-B,Brown-Forman Corporation Class B,Consumer Staples,Distillers & Vintners
BG,Bunge Global SA,Consumer Staples,Agricultural Products & Services
BIIB,Biogen Inc.,Health Care,Biotechnology
BIO,"Bio-Rad Laboratories, Inc.",Health Care,Life Sciences Tools & Services
BK,The Bank of New York Mellon Corporation,Financials,Asset Management & Custody Banks
BKNG,Booking Holdings Inc.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services
